SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
11795096,USD,2020,FY,2021-03-10,2023-03-15,34396446.0,34396446.0,28628000.0,,,-93144000.0,-18638000.0,-74506000.0,,-64516000,256000.0,302000.0,-64260000,-585000.0,-64845000,-1305000.0,-66150000,,-66150000,-66150000
11795096,USD,2021,FY,2022-02-28,2023-03-15,46322910.0,46322910.0,27357000.0,,,-153202000.0,-27196000.0,-126006000.0,,-125845000,294000.0,443000.0,-125551000,,-125551000,,-125551000,,-125551000,-125551000
11795096,USD,2022,FY,2023-03-15,2023-03-15,49042232.0,49042232.0,26581000.0,,,-157954000.0,-31739000.0,-126215000.0,,-131373000,3980000.0,4060000.0,-127393000,,-127393000,,-127393000,,-127393000,-127393000
11795322,USD,2020,FY,2021-03-09,2022-01-06,28750000.0,28750000.0,,,,-137546.0,-56948.0,,,-137546,,,-137546,-4041152.0,-4178698,,-4178698,,-4178698,-4178698
11795322,USD,2021,FY,2022-03-09,2022-03-09,28750000.0,28750000.0,,,,-1193427.0,-993427.0,,,-1193427,,,-1193427,12221717.0,11028290,,11028290,,11028290,11028290
11035990,USD,2018,FY,2019-03-29,2020-04-29,2565354.0,2565354.0,,,,-2314127.0,-2314127.0,,,-2314127,2790.0,2790.0,-2311337,-246194.0,-2557531,,-2557531,,-2557531,-2557531
11035990,USD,2019,FY,2020-04-29,2021-03-25,2565354.0,2565354.0,,,,-2086130.0,-2086130.0,,,-2086130,-13073.0,-13073.0,-2099203,348292.0,-1750911,,-1750911,,-1750911,-1750911
11035990,USD,2020,FY,2021-03-25,2022-04-07,2584767.0,2584767.0,,,,-2551611.0,-2551611.0,,,-2551611,-245676.0,-245676.0,-2797287,248552.0,-2548735,,-2548735,,-2548735,-2548735
11035990,USD,2021,FY,2022-04-07,2023-03-31,3685206.0,3685206.0,,,,-4140413.0,-4140413.0,,,-4140413,-463705.0,-463705.0,-4604118,81184.0,-4522934,,-4522934,,-4522934,-4522934
11035990,USD,2022,FY,2023-03-31,2023-03-31,4317875.0,4317875.0,,,,-3557788.0,-3557788.0,,,-3557788,48334.0,48334.0,-3509454,-46051.0,-3555505,,-3555505,,-3555505,-3555505
11795122,USD,2020,FY,2021-02-18,2023-03-02,33567206.0,33567206.0,455471000.0,-258437000.0,197034000.0,-141736000.0,-39854000.0,,-24584000.0,55298000,-43035000.0,-45031000.0,12263000,,12263000,,12263000,,12263000,-8261000
11795122,USD,2021,FY,2022-02-04,2023-03-02,35807171.0,35807171.0,534952000.0,-305552000.0,229400000.0,-201284000.0,-87089000.0,,-23312000.0,28116000,-37798000.0,-39694000.0,-9682000,-7265000.0,-16947000,3531000.0,-13416000,,5992000,-15184000
11795122,USD,2022,FY,2023-03-02,2023-03-02,38902259.0,42715977.0,587104000.0,-358629000.0,228475000.0,-188483000.0,-66892000.0,,-20907000.0,39992000,-26357000.0,-27644000.0,13635000,5345000.0,18980000,-1823000.0,17157000,,10851000,10851000
12442258,USD,2019,FY,2020-03-06,2022-03-10,3764165.0,3764165.0,16171000.0,,,-13730000.0,-2201000.0,,,2441000,-5373000.0,-8261000.0,-2932000,-9569000.0,-12501000,,-12501000,,-12501000,-12501000
642335,USD,2018,FY,2018-09-13,2018-09-13,7924042.0,8280302.0,67134758.0,,,-41208193.0,-8641976.0,-32566217.0,,25926565,-1141351.0,-1452014.0,24785214,,24785214,-82500.0,24702714,,24702714,24702714
642335,USD,2019,FY,2019-09-12,2020-09-25,8306824.0,8685335.0,60300476.0,,,-24556156.0,-9699061.0,-14857095.0,,35744320,28707.0,-417561.0,35773027,,35773027,,35773027,,35773027,35773027
642335,USD,2020,FY,2020-09-25,2021-09-28,9387391.0,9387391.0,117989.0,,,-23724769.0,-9765372.0,-13959397.0,,-23606780,1180757.0,-20141.0,-22426023,,-22426023,,-22426023,,-22426023,-22426023
642335,USD,2021,FY,2021-09-28,2022-09-22,9461021.0,9461021.0,-188597.0,-147840.0,-336437.0,-30263472.0,-17336913.0,-12926559.0,,-30599909,-212394.0,-23440.0,-30812303,-2784192.0,-33596495,,-33596495,,-33596495,-33596495
